symbol,start,end,reason_in,start_known
ALL,1976-07-01,,pre-changelog,False
ALLE,2013-12-02,,Allegion spun off by Ingersoll Rand.[202],True
ALTR,1976-07-01,2015-12-29,pre-changelog,False
ALXN,2012-05-21,2021-07-21,Acquired by Google (GOOG)[226],True
AMAT,1976-07-01,,pre-changelog,False
AMCR,2019-06-11,,BMS changed to AMCR post merger with Amcor;[94] subsequently renamed to Amcor[95],True
AMD,2017-03-20,,Market capitalization change.[134],True
AMD,1976-07-01,2013-09-20,pre-changelog,False
AME,2013-09-20,,Market capitalization change.[205],True
AMG,2014-07-01,2019-12-23,Actavis acquires Forest Laboratories[192],True
AMGN,1976-07-01,,pre-changelog,False
AMP,1976-07-01,,pre-changelog,False
AMT,1976-07-01,,pre-changelog,False
AMTM,2024-09-30,2024-12-23,"S&P 500 constituent Jacobs Solutions spun off its Critical Mission Solutions and Cyber Intelligence business, which merged with private Amentum to create newly publicly traded Amentum Holdings.[29]",True
AMZN,2005-11-18,,AT&T Corp. acquired by SBC Communications[275],True
AN,1998-12-11,2017-08-08,re-entry,True
AN,1976-07-01,1998-12-11,pre-changelog,False
ANDV,1976-07-01,2018-10-01,pre-changelog,False
ANET,2018-08-28,,GGP acquired by Brookfield Property Partners.[110],True
ANF,1976-07-01,2013-12-23,pre-changelog,False
ANR,2011-06-01,2012-10-02,Alpha Natural Resources acquired Massey Energy.[241],True
ANSS,2017-06-19,2025-07-18,Market capitalization changes.[128],True
AON,1976-07-01,,pre-changelog,False
AOS,2017-07-26,,Market capitalization change.[126],True
APA,1976-07-01,,pre-changelog,False
APC,1976-07-01,2019-08-09,pre-changelog,False
APD,1976-07-01,,pre-changelog,False
APH,1976-07-01,,pre-changelog,False
APO,2024-12-23,,Market capitalization change.[26],True
APOL,1976-07-01,2013-07-01,pre-changelog,False
APP,2025-09-22,,Market capitalization change.[19],True
APTV,1976-07-01,,pre-changelog,False
ARE,2017-03-20,,Market capitalization change.[134],True
ARES,2025-12-11,,Mars Inc. acquired Kellanova.[15],True
ARG,2009-09-28,2016-05-23,Redomesticated to Ireland[256],True
ARNC,2016-11-01,2020-04-01,AA spins off ARNC,True
ATI,1976-07-01,2015-07-02,pre-changelog,False
ATO,2019-02-15,,ECA acquired NFX[100],True
ATVI,2015-08-28,2023-10-18,Pall taken over[171],True
AV,1976-07-01,2007-10-26,pre-changelog,False
AVB,2007-01-10,,Acquired by Motorola[273],True
AVGO,2014-05-08,,Avago acquires LSI[194],True
AVP,1976-07-01,2015-03-23,pre-changelog,False
AVY,1976-07-01,,pre-changelog,False
AWK,2016-03-04,,AWK replaces CNX[158],True
AXON,2023-05-04,,The Federal Deposit Insurance Corporation (FDIC) placed First Republic Bank into FDIC Receivership.[43],True
AXP,1976-07-01,,pre-changelog,False
AYE,2000-12-05,2011-02-25,Market Cap changes.,True
AYE,1976-07-01,1976-07-01,pre-changelog,False
AYI,2016-05-03,2018-06-18,ADT acquired by APO[152],True
AZO,1976-07-01,,pre-changelog,False
BA,1976-07-01,,pre-changelog,False
BAC,1976-07-01,,pre-changelog,False
BALL,1976-07-01,,pre-changelog,False
BAX,1976-07-01,,pre-changelog,False
BBBY,1976-07-01,2017-07-26,pre-changelog,False
BBWI,1976-07-01,2024-10-01,pre-changelog,False
BBY,1976-07-01,,pre-changelog,False
BC,1976-07-01,2008-06-23,pre-changelog,False
BCR,1976-07-01,2018-01-03,pre-changelog,False
BDX,1976-07-01,,pre-changelog,False
BEAM,1976-07-01,2014-05-01,pre-changelog,False
BEN,1976-07-01,,pre-changelog,False
BF.B,1976-07-01,,pre-changelog,False
BG,2023-03-15,,The FDIC placed Signature Bank into FDIC Receivership.[45],True
BHF,2017-08-08,2019-04-02,"BHF replaced AN,[125] MET spun off BHF[125]",True
BHI,1976-07-01,2017-07-07,pre-changelog,False
BIG,1976-07-01,2013-02-15,pre-changelog,False
BIIB,1976-07-01,,pre-changelog,False
BIO,2020-06-22,2024-09-23,Market capitalization change.[76],True
BJS,1976-07-01,2010-04-29,pre-changelog,False
BKNG,1976-07-01,,pre-changelog,False
BKR,2017-07-07,,Baker Hughes merged with GE Oil & Gas to form new company.[127],True
BLDR,2023-12-18,,Market capitalization change.[37],True
BLK,2011-04-01,,Acquired by Sanofi Aventis (SNY)[243],True
BMC,1976-07-01,2013-09-10,pre-changelog,False
BMS,2019-06-07,2019-06-11,Pending merger of Bemis and Amcor; Bemis treated as the surviving entity.[95],True
BMS,1976-07-01,2014-12-05,pre-changelog,False
BMY,1976-07-01,,pre-changelog,False
BNY,1976-07-01,,pre-changelog,False
BR,2018-06-18,,Market capitalization change.[113],True
BRCM,1976-07-01,2016-02-01,pre-changelog,False
BRK.B,1976-07-01,,pre-changelog,False
BRO,2021-09-20,,Market capitalization change.[63],True
BS,1976-07-01,2000-12-05,pre-changelog,False
BSX,1976-07-01,,pre-changelog,False
BTU,1976-07-01,2014-09-20,pre-changelog,False
BWA,2011-12-16,2025-03-24,Market capitalization changes[233],True
BX,2023-09-18,,Market capitalization change.[40],True
BXLT,2015-07-01,2016-06-03,Baxalta spun off by Baxter.[178],True
BXP,1976-07-01,,pre-changelog,False
C,1976-07-01,,pre-changelog,False
CA,1976-07-01,2018-11-06,pre-changelog,False
CAG,1976-07-01,2026-06-30,pre-changelog,False
CAH,1976-07-01,,pre-changelog,False
CAM,1976-07-01,2016-04-04,pre-changelog,False
CARR,2020-04-03,,United Technologies spun off Otis and Carrier and acquired Raytheon Company.[79],True
CASY,2026-04-09,,Blackstone Inc. and TPG Inc. acquired Hologic.[11],True
CAT,1976-07-01,,pre-changelog,False
CB,2010-07-14,,Acquired by Merck KGaA (MKGAY)[251],True
CBE,2011-11-18,2012-12-03,Janus Capital Group's market capitalization is less than $1.2 billion  and is no longer representative of the large cap market space.[235],True
CBE,1976-07-01,2009-09-28,pre-changelog,False
CBOE,2017-03-01,,CBOE acquires BATS[137],True
CBRE,1976-07-01,,pre-changelog,False
CCE,1976-07-01,2016-05-31,pre-changelog,False
CCI,2012-03-13,,Acquired by Exelon Corp. (EXC)[230],True
CCK,1976-07-01,2000-12-05,pre-changelog,False
CCL,1998-12-11,,Berkshire Hathaway purchased General Re.[281],True
CDAY,2021-09-20,2024-02-01,Market capitalization change.[63],True
CDNS,2017-09-18,,Sycamore Partners acquired Staples.[123],True
CDW,2019-09-23,,S&P 500 constituent Global Payments (NYSE: GPN) acquired TSS.[90],True
CE,2018-12-24,2025-03-24,S&P 500 constituent Cigna (NYSE: CI) acquired ESRX[103],True
CEG,2022-02-02,,S&P 500 and 100 constituent Exelon Corp. spun off Constellation Energy.[59],True
CEG,1976-07-01,2012-03-13,pre-changelog,False
CELG,1976-07-01,2019-11-21,pre-changelog,False
CEPH,1976-07-01,2011-10-14,pre-changelog,False
CERN,2010-04-29,2022-06-08,Acquired by Baker Hughes[254],True
CF,1976-07-01,,pre-changelog,False
CFC,1976-07-01,2008-07-01,pre-changelog,False
CFG,2016-02-01,,CFG replaces PCP[160],True
CFN,1976-07-01,2015-03-18,pre-changelog,False
CHD,2015-12-29,,ALTR taken over by INTC[164],True
CHK,1976-07-01,2018-03-19,pre-changelog,False
CHRW,1976-07-01,,pre-changelog,False
CHTR,2016-09-08,,Dell acquires EMC[142],True
CI,1976-07-01,,pre-changelog,False
CIEN,2026-02-09,,Thoma Bravo L.P. acquired Dayforce.[13],True
CIEN,1976-07-01,2009-12-18,pre-changelog,False
CINF,1976-07-01,,pre-changelog,False
CL,1976-07-01,,pre-changelog,False
CLF,2009-12-18,2014-04-02,Market capitalization change.[citation needed],True
CLX,1976-07-01,,pre-changelog,False
CMA,1976-07-01,2024-06-24,pre-changelog,False
CMCSA,1976-07-01,,pre-changelog,False
CMCSK,2015-09-18,2015-12-15,Share class methodology change[1],True
CME,1976-07-01,,pre-changelog,False
CMG,2011-04-27,,Acquired by private equity firms.[242],True
CMI,1976-07-01,,pre-changelog,False
CMS,1976-07-01,,pre-changelog,False
CNC,2016-03-30,,Centene acquired Health Net.[156],True
CNP,1976-07-01,,pre-changelog,False
CNX,1976-07-01,2016-03-04,pre-changelog,False
COF,1976-07-01,,pre-changelog,False
COHR,2026-03-23,,Market capitalization change.[12],True
COIN,2025-05-19,,S&P 500 constituent Capital One Financial Corp. acquired Discover Financial Services.[24],True
COL,1976-07-01,2018-12-03,pre-changelog,False
COO,2016-09-22,,MAR acquires HOT[141],True
COP,1976-07-01,,pre-changelog,False
COR,1976-07-01,,pre-changelog,False
COST,1976-07-01,,pre-changelog,False
COTY,2016-09-30,2020-09-21,COTY replaces DO[140],True
COV,2011-02-28,2015-01-27,Acquired by Intel[245],True
COV,1976-07-01,2009-06-05,pre-changelog,False
CPAY,2024-03-25,,FLEETCOR Technologies changed its name to Corpay and ticker symbol from FLT to CPAY.[34],True
CPB,1976-07-01,2026-06-22,pre-changelog,False
CPGX,2015-07-02,2016-07-05,Spin off of Columbia Pipeline.[176],True
CPRI,1976-07-01,2020-05-12,pre-changelog,False
CPRT,2018-07-02,,DPS acquired by Keurig Green Mountain.[111],True
CPT,2022-04-04,,S&P 500 constituent M&T Bank Corp. acquired People's United Financial.[56],True
CPWR,1998-12-11,2011-12-31,AIG purchased SunAmerica.[281],True
CRH,2025-12-22,,Market capitalization change.[14],True
CRL,2021-05-14,,S&P 500 constituent Teledyne Technologies acquired FLIR Systems.[66],True
CRM,2008-09-12,,Capitalization rebalance.[263],True
CRWD,2024-06-24,,Market capitalization change.[31],True
CSC,1976-07-01,2015-12-01,pre-changelog,False
CSCO,1976-07-01,,pre-changelog,False
CSGP,2022-09-19,,Market capitalization change.[53],True
CSRA,2015-12-01,2018-04-04,CSC spins off CSRA[166],True
CSX,1976-07-01,,pre-changelog,False
CTAS,1976-07-01,,pre-changelog,False
CTLT,2020-09-21,2024-12-23,Market capitalization change.[75],True
CTRA,1976-07-01,2026-05-07,pre-changelog,False
CTSH,1976-07-01,,pre-changelog,False
CTVA,2019-06-03,,CTVA spun off from DWDP (which then changed symbol to DD)[96],True
CTX,1976-07-01,2009-08-19,pre-changelog,False
CTXS,1976-07-01,2022-10-03,pre-changelog,False
CVC,2010-12-17,2016-06-22,Acquired by Pfizer.[248],True
CVG,2000-06-12,2009-12-18,Tribune Co. acquired Times Mirror.[278],True
CVH,1976-07-01,2013-05-08,pre-changelog,False
CVNA,2025-12-22,,Market capitalization change.[14],True
CVS,1976-07-01,,pre-changelog,False
CVX,1976-07-01,,pre-changelog,False
CXO,2016-02-22,2021-01-21,PCL taken over by WY[159],True
CZR,2021-03-22,2025-09-22,Market capitalization change.[68],True
D,1976-07-01,,pre-changelog,False
DAL,2013-09-10,,BMC taken private by consortium[206],True
DASH,2025-03-24,,Market capitalization change.[25],True
DAY,2024-02-01,2026-02-09,Ceridian changed its ticker symbol from CDAY to DAY.[36],True
DD,2019-06-03,,DWDP changed to DD after spinning off Corteva.[96],True
DD,1976-07-01,2017-09-01,pre-changelog,False
DDOG,2025-07-09,,S&P 500 constituent Hewlett Packard Enterprise Co. acquired Juniper Networks.[23],True
DE,1976-07-01,,pre-changelog,False
DECK,2024-03-18,,Market capitalization change.[35],True
DELL,2024-09-23,,Market capitalization change.[30],True
DELL,1976-07-01,2013-10-29,pre-changelog,False
DF,1976-07-01,2013-05-23,pre-changelog,False
DFS,2007-07-02,2025-05-19,Discover Financial Services debuts on New York Stock Exchange.[271],True
DG,2012-12-03,,Acquired by Eaton Corp. (ETN)[218],True
DGX,1976-07-01,,pre-changelog,False
DHI,1976-07-01,,pre-changelog,False
DHR,1976-07-01,,pre-changelog,False
DIS,1976-07-01,,"Major restructuring of S&P 500 to have fewer industrials and utilities, and more financial companies to add ""new strength and breadth""[284]",True
DISCA,1976-07-01,2022-04-11,pre-changelog,False
DISCK,2014-08-06,2022-04-11,Class C share distribution[190],True
DISH,2017-03-13,2023-06-20,S&P 500 constituent Analog Devices (NASD:ADI) acquired Linear Technology.[136],True
DJ,1976-07-01,2007-12-13,pre-changelog,False
DLR,2016-05-18,,TWC acquired by CHTR[150],True
DLTR,2011-12-16,,Market capitalization changes,True
DNB,1976-07-01,2017-04-05,pre-changelog,False
DNR,1976-07-01,2015-03-23,pre-changelog,False
DO,1976-07-01,2016-09-30,pre-changelog,False
DOC,1976-07-01,,pre-changelog,False
DOV,1976-07-01,,pre-changelog,False
DOW,2019-04-02,,DOW spun off from DWDP[97],True
DOW,1976-07-01,2017-09-01,pre-changelog,False
DPS,1976-07-01,2018-07-02,pre-changelog,False
DPZ,2020-05-12,,Market capitalization change.[78],True
DRE,2017-07-26,2022-10-03,Market capitalization change.[126],True
DRI,1976-07-01,,pre-changelog,False
DTE,1976-07-01,,pre-changelog,False
DTV,1976-07-01,2015-07-29,pre-changelog,False
DUK,1976-07-01,,pre-changelog,False
DV,1976-07-01,2012-10-01,pre-changelog,False
DVA,1976-07-01,,pre-changelog,False
DVN,1976-07-01,,pre-changelog,False
DWDP,2017-09-01,2019-06-03,The Dow Chemical Company renamed to DowDuPont Inc. and ticker changed from DOW to DWDP after acquiring DuPont.[124],True
DXC,2017-04-04,2023-10-03,"HPE spins off Everett, merged with CSC to form DXC[132][133]",True
DXCM,2020-05-12,,Allergan acquired by AbbVie.[78],True
DYN,1976-07-01,2009-12-18,pre-changelog,False
EA,1976-07-01,2026-08-05,pre-changelog,False
EBAY,1976-07-01,,pre-changelog,False
ECHO,1976-07-01,,pre-changelog,False
ECL,1976-07-01,,pre-changelog,False
ED,1976-07-01,,pre-changelog,False
EFX,1976-07-01,,pre-changelog,False
EG,2023-07-10,,Everest Re Group renamed to Everest Group and changed its ticker symbol from RE to EG,True
EIX,1976-07-01,,pre-changelog,False
EK,1976-07-01,2010-12-17,pre-changelog,False
EL,1976-07-01,,pre-changelog,False
ELV,1976-07-01,,pre-changelog,False
EMC,1976-07-01,2016-09-08,pre-changelog,False
EME,2025-09-22,,Market capitalization change.[19],True
EMN,1976-07-01,2025-11-04,pre-changelog,False
EMR,1976-07-01,,pre-changelog,False
ENDP,2015-01-27,2017-03-02,Covidien acquired by Medtronic[185],True
ENPH,2021-01-07,2025-09-22,LVMH Moet Hennessy-Louis Vuitton SE acquired Tiffany & Co.[71],True
EOG,1976-07-01,,pre-changelog,False
EP,1976-07-01,2012-05-17,pre-changelog,False
EPAM,2021-12-14,2026-06-02,Canadian Pacific acquired Kansas City Southern.[62],True
EQIX,2015-03-23,,Market Capitalization Changes.[182],True
EQR,1976-07-01,,pre-changelog,False
EQT,2022-10-03,,S&P 500 constituent Prologis Inc. acquired Duke Realty.[52],True
EQT,1976-07-01,2018-11-13,pre-changelog,False
ERIE,2024-09-23,,Market capitalization change.[30],True
ES,1976-07-01,,pre-changelog,False
ESRX,2003-09-25,2018-12-24,Taken private,True
ESS,2014-04-02,,Market capitalization changes[197],True
ESV,2012-07-31,2016-03-30,Goodrich acquired by United Technologies (UTX).[222],True
ETFC,1976-07-01,2020-10-07,pre-changelog,False
ETN,1976-07-01,,pre-changelog,False
ETR,1976-07-01,,pre-changelog,False
ETSY,2020-09-21,2024-09-23,Market capitalization change.[75],True
EVHC,2016-12-02,2018-10-11,Market capitalization change.[139],True
EVRG,2018-06-05,,Westar Energy (NYSE: WR) acquired Great Plains Energy (NYSE: GXP) and changed name to Evergy.[115],True
EW,2011-03-31,,Acquired by CenturyLink[244],True
EXC,1976-07-01,,pre-changelog,False
EXE,2025-03-24,,Market capitalization change.[25],True
EXPD,1976-07-01,,pre-changelog,False
EXPE,2007-10-02,,Solectron acquired by Flextronics.[269],True
EXR,2016-01-19,,"EXR replaces ACE as ACE Ltd acquires Chubb and retains the CB ticker, giving up ACE[162]",True
F,1976-07-01,,pre-changelog,False
FANG,2018-12-03,,Market Capitalization change[104],True
FAST,2008-09-12,,Capitalization rebalance.[263],True
FBHS,2016-06-22,2022-12-19,CVC acquired by Altice NV[146],True
FCX,1976-07-01,,pre-changelog,False
FDC,1976-07-01,2007-09-26,pre-changelog,False
FDO,1976-07-01,2015-07-08,pre-changelog,False
FDS,2021-12-20,,Market capitalization change.[60],True
FDX,1976-07-01,,pre-changelog,False
FDXF,2026-06-01,,S&P 500 & 100 constituent FedEx Corp. spun off FedEx Freight Holding.[8],True
FE,1976-07-01,,pre-changelog,False
FERG,2026-08-05,,"An investor consortium comprising Saudi Arabia's Public Investment Fund (PIF), Silver Lake, and Affinity Partners acquired Electronic Arts.[5]",True
FFIV,2010-12-17,,Market Cap changes.[248],True
FHN,1976-07-01,2013-06-21,pre-changelog,False
FICO,2023-03-20,,Market capitalization change.[44],True
FII,1976-07-01,2013-01-02,pre-changelog,False
FIS,1976-07-01,,pre-changelog,False
FISV,1976-07-01,,pre-changelog,False
FITB,1976-07-01,,pre-changelog,False
FIX,2025-12-22,,Market capitalization change.[14],True
FL,2016-04-04,2019-08-09,Schlumberger acquired Cameron[155],True
FLEX,2026-06-22,,Market capitalization change.[7],True
FLIR,1976-07-01,2021-05-14,pre-changelog,False
FLR,1976-07-01,2019-06-03,pre-changelog,False
FLS,1976-07-01,2021-03-22,pre-changelog,False
FLT,2018-06-20,2024-03-25,AT&T acquired Time Warner.[112],True
FMC,2009-08-19,2025-03-24,Centex acquired by Pulte Homes.[257],True
FNM,1976-07-01,2008-09-12,pre-changelog,False
FOSL,2012-04-03,2016-01-05,Acquired by Express Scripts (ESRX)[229],True
FOX,2015-09-18,2019-03-19,Share class methodology change,True
FOX,2019-03-19,,21st Century Fox merged with Disney and some parts spun off as Fox Corporation.[98],True
FOXA,2019-03-19,,21st Century Fox merged with Disney and some parts spun off as Fox Corporation.[98],True
FOXA,1976-07-01,2019-03-19,pre-changelog,False
FRC,2019-01-02,2023-05-04,Dominion Energy acquired SCANA Corporation[102],True
FRE,1976-07-01,2008-09-12,pre-changelog,False
FRT,2016-02-01,,FRT replaces BRCM[161],True
FRX,1976-07-01,2014-07-01,pre-changelog,False
FSLR,2022-12-19,,Market capitalization change.[49],True
FSLR,1976-07-01,2017-03-20,pre-changelog,False
FTI,2009-06-05,2021-02-12,"Covidien moved its place of incorporation to Ireland, making it ineligible for inclusion in the index.[259]",True
FTNT,2018-10-11,,EVHC acquired by KKR.[107],True
FTR,1976-07-01,2017-03-20,pre-changelog,False
FTV,2016-07-05,,CPGX acquired by TRP[144],True
GAS,2011-12-12,2016-07-01,"Nicor acquired by AGL, which retained the GAS ticker.[234]",True
GAS,1976-07-01,2011-12-12,pre-changelog,False
GD,1976-07-01,,pre-changelog,False
GDDY,2024-06-24,,Market capitalization change.[31],True
GE,1976-07-01,,pre-changelog,False
GEHC,2023-01-04,,S&P 500 constituent General Electric spun off GE HealthCare.[47],True
GEN,1976-07-01,,pre-changelog,False
GENZ,1976-07-01,2011-04-01,pre-changelog,False
GEV,2024-04-02,,S&P 500 and 100 constituent General Electric Corp. spun off GE Vernova.[33],True
GGP,2013-12-10,2018-08-28,MOLX acquired by Koch Industries.[201],True
GHC,1976-07-01,2014-09-20,pre-changelog,False
GILD,1976-07-01,,pre-changelog,False
GIS,1976-07-01,,pre-changelog,False
GL,1976-07-01,,pre-changelog,False
GLK,1976-07-01,2005-07-01,pre-changelog,False
GLW,1976-07-01,,pre-changelog,False
GM,2013-06-06,,HNZ acquired by consortium[210],True
GMCR,2014-03-21,2016-03-07,Market capitalization changes[198],True
GME,2007-12-13,2016-04-25,Acquired by News Corporation,True
GNRC,2021-03-22,,Market capitalization change.[68],True
GNW,1976-07-01,2015-11-18,pre-changelog,False
GOOG,1976-07-01,,pre-changelog,False
GOOGL,2014-04-03,,Google Class C share distribution[196],True
GPC,1976-07-01,,pre-changelog,False
GPN,2016-04-25,,Global Payments is acquiring Heartland Payment Systems[153],True
GPS,1976-07-01,2022-02-03,pre-changelog,False
GR,1976-07-01,2012-07-31,pre-changelog,False
GRA,1976-07-01,2000-12-05,pre-changelog,False
GRMN,2012-12-11,,Market capitalization changes[217],True
GRN,1976-07-01,1998-12-11,pre-changelog,False
GS,1976-07-01,,pre-changelog,False
GT,1976-07-01,2019-02-27,pre-changelog,False
GWW,1976-07-01,,pre-changelog,False
HAL,1976-07-01,,pre-changelog,False
HAR,1976-07-01,2017-03-16,pre-changelog,False
HAS,1976-07-01,,pre-changelog,False
HBAN,1976-07-01,,pre-changelog,False
HBI,2015-03-23,2021-12-20,Market Capitalization Changes.,True
HCA,2015-01-27,,Safeway acquired by private equity consortium[184],True
HCBK,1976-07-01,2015-11-02,pre-changelog,False
HD,1976-07-01,,pre-changelog,False
HES,1976-07-01,2025-07-23,pre-changelog,False
HFC,2018-06-18,2021-06-04,Market capitalization change.[113],True
HIG,1976-07-01,,pre-changelog,False
HII,2018-01-03,,Becton Dickinson acquired BCR.[120],True
HLT,2017-06-19,,VZ acquired YHOO operations; remainder of YHOO converted to closed-end company known as Altaba.[128],True
HNG,1976-07-01,1976-07-01,pre-changelog,False
HNZ,1976-07-01,2013-06-06,pre-changelog,False
HOG,1976-07-01,2020-06-22,pre-changelog,False
HOLX,2016-03-30,2026-04-09,Exelon acquired Pepco.[156],True
HON,1976-07-01,,pre-changelog,False
HONA,2026-06-29,,S&P 500 constituent Honeywell spun off Honeywell Aerospace.[6],True
HOOD,2025-09-22,,Market capitalization change.[19],True
HOT,1976-07-01,2016-09-22,pre-changelog,False
HP,2010-02-26,2020-05-22,Taken private,True
HPE,2015-11-02,,HPQ spins off HPE[169],True
HPH,1976-07-01,1999-06-09,pre-changelog,False
HPQ,1976-07-01,,pre-changelog,False
HRB,1976-07-01,2020-09-21,pre-changelog,False
HRL,2009-03-03,,Capitalization rebalance.[260],True
HSIC,2015-03-18,,Carefusion acquired by Becton Dickinson[182],True
HSP,1976-07-01,2015-09-02,pre-changelog,False
HST,1976-07-01,,pre-changelog,False
HSY,1976-07-01,,pre-changelog,False
HUBB,2023-10-18,,Market capitalization change.[38],True
HUM,1976-07-01,,pre-changelog,False
HWM,2020-04-01,,Arconic separated into 2 companies - Howmet remained on the index.[80],True
IBKR,2025-08-28,,Sycamore Partners acquired Walgreen Boots Alliance.[20],True
IBM,1976-07-01,,pre-changelog,False
ICE,2007-09-26,,FDC acquired by KKR.[269],True
IDXX,2017-01-05,,S&P 100 & 500 constituent Abbott Laboratories (NYSE:ABT) acquired St. Jude Medical.[138],True
IEX,2019-08-09,,Market capitalization change.[91],True
IFF,1976-07-01,,pre-changelog,False
IGT,1976-07-01,2014-06-20,pre-changelog,False
ILMN,2015-11-19,2024-06-24,Sigma-Aldrich acquired by Merck KGaA (MKGAY)[167],True
INCY,2017-02-28,,SE acquired by ENB[137],True
INFO,2017-06-02,2022-03-02,TGNA spins off Cars.com[130],True
INTC,1976-07-01,,pre-changelog,False
INTU,2000-12-05,,Market Cap changes.[276],True
INVH,2022-09-19,,Market capitalization change.[53],True
IP,1976-07-01,,pre-changelog,False
IPG,1976-07-01,2025-11-28,pre-changelog,False
IPGP,2018-03-07,2022-06-21,Discovery Communications acquired SNI.[119],True
IQV,2017-11-15,,QuintilesIMS changed its name to IQVIA and ticker symbol from Q to IQV.[121],True
IR,2020-03-02,,"Gardner Denver acquired Ingersoll Rand's industrial businesses then changed its name to the ""new"" Ingersoll Rand Inc.[81][82]",True
IRM,1976-07-01,,pre-changelog,False
ISRG,1976-07-01,,pre-changelog,False
IT,2017-04-05,,IT acquiring CEB[131],True
ITT,1976-07-01,2011-10-31,pre-changelog,False
ITW,1976-07-01,,pre-changelog,False
IVZ,1976-07-01,,pre-changelog,False
J,1976-07-01,,pre-changelog,False
JBHT,2015-07-01,,Integrys taken over.[177],True
JBL,2023-12-18,,Market capitalization change.[37],True
JBL,1976-07-01,2014-11-05,pre-changelog,False
JCI,1976-07-01,,pre-changelog,False
JCP,1976-07-01,2013-12-02,pre-changelog,False
JDSU,2000-07-27,2013-12-23,Market Cap change.[277],True
JEF,1976-07-01,2019-09-26,pre-changelog,False
JKHY,2018-11-13,,EQT spun off ETRN[105],True
JNJ,1976-07-01,,pre-changelog,False
JNPR,2006-06-02,2025-07-09,Albertsons acquired by SuperValu and CVS Corp.[274],True
JNS,1976-07-01,2011-11-18,pre-changelog,False
JNY,1976-07-01,2009-03-03,pre-changelog,False
JOY,1976-07-01,2015-10-07,pre-changelog,False
JPM,1976-07-01,,pre-changelog,False
JWN,1976-07-01,2020-06-22,pre-changelog,False
K,1976-07-01,2025-12-11,pre-changelog,False
KBH,1976-07-01,2009-12-18,pre-changelog,False
KDP,2022-06-21,,Market capitalization change.[54],True
KEY,1976-07-01,,pre-changelog,False
KEYS,2018-11-06,,CA acquired by Broadcom.[106],True
KFT,2007-03-30,2012-10-02,Taken Private[272],True
KG,1976-07-01,2010-12-17,pre-changelog,False
KHC,2015-07-06,,Kraft merger with Heinz.[175],True
KIM,1976-07-01,,pre-changelog,False
KKR,2024-06-24,,Market capitalization change.[31],True
KLAC,1976-07-01,,pre-changelog,False
KMB,1976-07-01,,pre-changelog,False
KMI,2012-05-17,,Acquired by Kinder Morgan (KMI)[227],True
KMX,2010-06-28,2025-10-31,Acquired by ExxonMobil[253],True
KO,1976-07-01,,pre-changelog,False
KR,1976-07-01,,pre-changelog,False
KRFT,2012-10-02,2015-07-06,Kraft split into two companies[220],True
KSE,1976-07-01,2007-08-24,pre-changelog,False
KSS,1976-07-01,2020-09-21,pre-changelog,False
KSU,2013-05-23,2021-12-14,DF too small after spinoff of White Wave Foods[211],True
KVUE,2023-08-25,,S&P 500 and S&P 100 constituent Johnson & Johnson offered to exchange the shares of Kenvue held for shares of Johnson & Johnson in a split-off exchange offer.[41],True
L,1976-07-01,,pre-changelog,False
